genes,logFC.genotypenpr4.4D,logFC.genotypenpr4.4D.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT1G24147.1,-0.8502425988228463,-1.1971429637990623,4.0177611142044505,182.63408621564363,2.195391986077798e-40,6.14746345968218e-37,AT1G24147,NA,NA
AT1G13470.1,-0.6803446391634737,-1.5699730377656338,3.3677794080679115,163.81679407811234,2.6769184710415252e-36,6.91921649722595e-33,AT1G13470,NA,NA
AT5G55450.1,-1.2580783580992825,-0.1846981159015858,5.191888912920609,162.73529674757478,4.5970508301106514e-36,1.1033578713812723e-32,AT5G55450,AtLTP4.4,"NA"
AT1G35710.1,-1.0213958236862897,-0.36551362984900915,7.509790487009673,160.957055009572,1.1184577752494084e-35,2.505494544262041e-32,AT1G35710,NA,NA
AT1G21250.1,-0.6829807650412284,-0.6405087303488912,7.192089265412023,152.95112228216865,6.124713750419009e-34,1.286266446509872e-30,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G53490.1,-1.7067723381712234,-0.3633292844391612,2.4257159002359403,149.4953667844996,3.4474150059290076e-33,6.814119942895677e-30,AT1G53490,HEI10,homolog of human HEI10 ( Enhancer of cell Invasion No.10)
AT1G73805.1,-1.7343670922620162,-1.175264296224021,3.7960010427643667,149.33792341624178,3.7297692209498815e-33,6.962650297908774e-30,AT1G73805,SARD1,SAR Deficient 1
AT1G65970.1,-1.237212048405098,-0.13897985047619793,5.061283498908996,139.46416494522416,5.1968642258716575e-31,9.190791143038918e-28,AT1G65970,TPX2,thioredoxin-dependent peroxidase 2
AT2G40750.1,-1.1361809334144093,-0.7349025782416442,5.5410674821322425,136.2657478438091,2.571987298315973e-30,4.321195859900666e-27,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT5G38910.1,-0.6208897338210404,-2.3215877741954496,2.1173628843304275,133.33710063558252,1.1122860245057093e-29,1.7797635712114687e-26,AT5G38910,NA,NA
AT2G25510.1,-1.1792901741588446,-0.7880930535208412,8.657635524891088,131.78423209520247,2.4177845586253523e-29,3.6928362154058675e-26,AT2G25510,NA,NA
AT5G24530.1,-0.8355156701451026,-0.6089197505322889,6.698524933529247,121.17296710159535,4.871071629639422e-27,7.116423865180168e-24,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT4G21380.1,-1.4181330983989937,0.28111854704135525,4.665995578019911,117.9797400970106,2.4045009319947315e-26,3.36030927867645e-23,AT4G21380,ARK3;RK3,receptor kinase 3;receptor kinase 3
AT4G03450.1,-0.16636463468885607,-2.2021967289697852,3.0197281689728888,117.90177833004007,2.5000813036995193e-26,3.36030927867645e-23,AT4G03450,NA,NA
AT3G11010.1,-0.6601127079201364,-1.3260676586120406,6.226752630794775,102.77348951551694,4.81970335279174e-23,6.228910463865695e-20,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G07213.1,3.7977783294406455,0.6394410002106452,0.33435441663420284,100.63103540778911,1.4068516591463525e-22,1.7508529426161383e-19,AT2G07213,NA,NA
AT1G65790.1,-0.9128326064216128,-0.8509750410211218,3.4378001702198504,96.7729425118008,9.683280998338721e-22,1.1620628860934919e-18,AT1G65790,ARK1;RK1,receptor kinase 1;receptor kinase 1
AT1G14880.1,0.480323470081721,-2.8787115645120775,3.341421828391731,96.46999475710089,1.1266961333260635e-21,1.3054911542076684e-18,AT1G14880,AtPCR1;PCR1,NA;PLANT CADMIUM RESISTANCE 1
AT5G42530.1,-1.542832539064661,0.031490924933827595,8.839432064587836,90.19684022713321,2.594209241568272e-20,2.905687297839236e-17,AT5G42530,NA,NA
AT5G10695.1,-0.09896887296696923,-1.2046576924415462,3.5643220402067417,89.5916986490284,3.510830205757259e-20,3.8055134378663036e-17,AT5G10695,NA,NA
AT2G45660.1,0.8380700485457043,-0.10337436743507619,5.3965266720861385,88.4688610218086,6.155040557522513e-20,6.463177275433484e-17,AT2G45660,AGL20;ATSOC1;SOC1,AGAMOUS-like 20;SUPPRESSOR OF OVEREXPRESSION OF CO 1;SUPPRESSOR OF OVEREXPRESSION OF CO 1
AT5G54610.1,-1.5290430933739065,-1.2820966566126755,2.8651932349698335,88.31096567619036,6.660662950968276e-20,6.782169590255637e-17,AT5G54610,ANK;BDA1,ankyrin;bian da 2 (becoming big in Chinese)
AT4G31970.1,-2.362747180986119,-0.3716296608006896,0.8830788925081637,86.40740323129775,1.7253245043206031e-19,1.7051280586523795e-16,AT4G31970,CYP82C2,"""cytochrome P450, family 82, subfamily C, polypeptide 2"""
AT4G14400.1,-1.5801871022625908,0.568632938530459,8.6571059013544,84.85089060823431,3.7571904703683206e-19,3.6071175481518944e-16,AT4G14400,ACD6,ACCELERATED CELL DEATH 6
AT3G13700.1,-2.6748208207383657,-7.078703197802593,0.030927257430811938,83.38455229998861,7.821220502697147e-19,7.300240314767487e-16,AT3G13700,NA,NA
AT4G26070.2,-0.7528907069493953,-0.316727881090931,5.601436969441839,82.37331150328909,1.2967691764793717e-18,1.1776766991367527e-15,AT4G26070,ATMEK1;MEK1;MKK1;NMAPKK,NA;MAP kinase/ ERK kinase 1;MITOGEN ACTIVATED PROTEIN KINASE KINASE 1;NA
AT5G59670.1,-1.9249883633698759,-0.5480281189822147,4.110048981601243,78.85091410802406,7.546430121721639e-18,6.67303013026554e-15,AT5G59670,NA,NA
AT3G12220.1,-1.9269009453471466,-0.8503002329862627,0.558888176455531,78.25408133373924,1.0170496277219332e-17,8.762795279669845e-15,AT3G12220,scpl16,serine carboxypeptidase-like 16
AT5G12030.1,1.4040395096226108,-2.9702068481778547,3.892456557606553,76.6156987036653,2.3073443451565887e-17,1.9382846171487923e-14,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT5G28370.1,-0.8982589724436449,-1.6938017604568447,1.5919116327808605,75.66051628165215,3.719868953358328e-17,3.048659428554793e-14,AT5G28370,NA,NA
AT1G52600.1,-0.6304209507872691,-0.14052876129142003,4.993512126485377,74.7454040073879,5.878164640430918e-17,4.7028116249466597e-14,AT1G52600,NA,NA
AT1G11650.2,-1.5883344401290709,1.1105655629631206,7.800048203862449,73.2805810237247,1.2227115519705716e-16,9.554779899840731e-14,AT1G11650,ATRBP45B;RBP45B,NA;NA
AT5G10760.1,0.11857710326085814,-1.7749831306902986,4.573285163619751,71.95183889896433,2.3760561619908207e-16,1.8145508898912625e-13,AT5G10760,AED1,"APOPLASTIC, EDS1-DEPENDENT 1"
AT2G01010.1,-8.165230400835819,2.002231753813031,-0.692558350307034,71.57846178090682,2.863746112936686e-16,2.1383910419310783e-13,AT2G01010,NA,NA
AT1G02230.1,-2.33120215688829,-0.710415478096682,2.1808630705048544,70.78170325559753,4.2652886613953705e-16,3.115700643482766e-13,AT1G02230,ANAC004;NAC004,NAC domain containing protein 4;NAC domain containing protein 4
AT2G26150.1,2.3185440451471955,-3.4222118425776022,5.46625037487688,69.47471157488984,8.198946746403424e-16,5.861723586652082e-13,AT2G26150,ATHSFA2;HSFA2,heat shock transcription factor A2;heat shock transcription factor A2
AT2G01422.1,4.938362694198155,3.558370827654639,0.3116989071500093,68.86114478880106,1.1142750348776638e-15,7.800389525408178e-13,AT2G01422,NA,NA
AT3G04210.1,-0.034904368134390226,-1.042051247754959,6.517736496126786,67.35620326885325,2.364755799255968e-15,1.5983361360459044e-12,AT3G04210,TN13,"NA"
AT1G26650.1,-1.3639682346683282,0.9038919657279512,4.08991189068989,67.3447516106041,2.3783348253763234e-15,1.5983361360459044e-12,AT1G26650,NA,NA
AT5G12020.1,2.59279048073854,-4.128372850392807,3.768551701090657,67.14251958508797,2.6314015220471992e-15,1.7337324302711763e-12,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT4G11840.1,-0.2981509407993375,-0.6433902904060718,4.600183617328768,66.12431936090027,4.378108205182703e-15,2.8290998444336388e-12,AT4G11840,PLDGAMMA3,phospholipase D gamma 3
AT4G04695.1,-0.7230346785652051,-0.2933620824278047,4.020080101326212,65.15975092800105,7.091528700476462e-15,4.496029196102077e-12,AT4G04695,CPK31,calcium-dependent protein kinase 31
AT1G02220.1,-1.1289400178348312,-0.08948526798841587,3.7042937793379043,63.549704663443976,1.5861964334770405e-14,9.870254177351021e-12,AT1G02220,ANAC003;NAC003,NAC domain containing protein 3;NAC domain containing protein 3
AT1G09932.1,0.20464802915696675,-1.2632830505925956,4.598311458361819,62.16899989277277,3.163539056576268e-14,1.9327498068922866e-11,AT1G09932,NA,NA
AT3G52430.1,0.04501832469030773,-1.1076802861270743,4.82585011461673,58.623600065370496,1.8622886274938352e-13,1.1174396868044261e-10,AT3G52430,ATPAD4;PAD4,ARABIDOPSIS PHYTOALEXIN DEFICIENT 4;PHYTOALEXIN DEFICIENT 4
AT5G67430.1,-0.9600943905169711,-0.06322253050966588,2.781765269752703,55.83278295791696,7.517357876116703e-13,4.4315484097065516e-10,AT5G67430,NA,NA
AT1G26640.1,-1.3756124088202384,0.6037015592603531,4.0708473701813395,55.0801638499366,1.0952024050269525e-12,6.344998485123389e-10,AT1G26640,IPK,Isopentenyl Phosphate Kinase
AT3G23120.1,-1.3653879993543612,-0.19294160227453871,3.628816487992153,54.54297035355225,1.4326644168090074e-12,8.159388090443434e-10,AT3G23120,AtRLP38;RLP38,receptor like protein 38;receptor like protein 38
AT5G55460.1,-0.39260639847353807,-1.387055320904688,1.8440071025321216,54.46350484860629,1.490734112572056e-12,8.348607941774371e-10,AT5G55460,AtLTP4.5,"NA"
AT1G02450.1,-1.9079217314884822,-0.4169916974457819,3.2439243731504606,54.24716121314491,1.661034347717247e-12,9.149848549507366e-10,AT1G02450,NIMIN-1;NIMIN1,NA;NIM1-interacting 1
AT2G43000.1,-1.4165747744577573,-0.030352084997020575,2.3017158638242328,53.94499517532757,1.931937776062657e-12,1.047047954052539e-9,AT2G43000,ANAC042;AtJUB1;JUB1;NAC042,NAC domain containing protein 42;NA;JUNGBRUNNEN 1;NAC domain containing protein 42
AT3G45860.1,-0.021763485748983243,-1.775286749527834,4.420356933674343,53.650133455448625,2.238832194554215e-12,1.1941149111335037e-9,AT3G45860,CRK4,cysteine-rich RLK (RECEPTOR-like protein kinase) 4
AT5G10140.1,-3.6513193807135655,-0.466935225900371,-0.451617257503602,52.57533357933723,3.8318753323198195e-12,2.01185429557204e-9,AT5G10140,AGL25;FLC;FLF;RSB6,AGAMOUS-like 25;FLOWERING LOCUS C;FLOWERING LOCUS F;REDUCED STEM BRANCHING 6
AT3G61920.1,1.8352432681609312,-1.2231243119691753,1.5241844871290402,52.189621322857455,4.6469470449344905e-12,2.399867835010934e-9,AT3G61920,NA,NA
AT4G19660.1,-0.8791448320224159,0.07136830845270987,5.37844903028164,52.16107659163443,4.713745524395025e-12,2.399867835010934e-9,AT4G19660,ATNPR4;NPR4,NA;NPR1-like protein 4
AT2G15040.1,-1.1734775554894243,0.24880487632041923,2.6339056719108513,52.08857154179805,4.887765983609218e-12,2.4513240683766708e-9,AT2G15040,AtRLP18;RLP18,receptor like protein 18;receptor like protein 18
AT3G48080.1,-0.36925062097771594,-1.0352981474872236,2.9577289961542275,51.845130164678636,5.520431533484227e-12,2.727905005707897e-9,AT3G48080,NA,NA
AT2G17120.1,-0.451299960006045,-0.5060143291803709,6.124811947179201,51.65582356609319,6.0684871063790025e-12,2.955265271718076e-9,AT2G17120,CL-1;LYM2;LYP1,CEBiP-like 1;lysM domain GPI-anchored protein 2 precursor;LysM-containing receptor protein 1
AT3G16030.1,-0.3550950076232299,-0.6126285134342482,3.7321915193855446,51.45005868433623,6.726075065554173e-12,3.2287082050393046e-9,AT3G16030,CES101;RFO3,CALLUS EXPRESSION OF RBCS 101;RESISTANCE TO FUSARIUM OXYSPORUM 3
AT5G02490.1,1.0122788586975535,-1.607967798928841,7.136806220801563,51.02903366979301,8.302065016547321e-12,3.929098432197508e-9,AT5G02490,AtHsp70-2;Hsp70-2,NA;NA
AT1G21270.1,-0.4526701416030071,-0.5103181536946878,6.780348642683574,50.99585145606637,8.440954443149342e-12,3.939346544426447e-9,AT1G21270,WAK2,wall-associated kinase 2
AT5G22555.1,-0.9884970327856855,-1.3209591664181684,0.5125995675601722,50.05973741948786,1.3479262673607968e-11,6.1828931078600436e-9,AT5G22555,NA,NA
AT1G05630.1,-0.12645793820033607,-0.8387046436890048,5.351192584232773,50.039510618750214,1.3616275518768026e-11,6.1828931078600436e-9,AT1G05630,5PTASE13;AT5PTASE13,inositol-polyphosphate 5-phosphatase 13;Arabidopsis thaliana inositol-polyphosphate 5-phosphatase 13
AT1G74710.2,0.07997141920828152,-1.3533440957478804,4.050911764692303,49.89342033919747,1.464810457182425e-11,6.562741464299179e-9,AT1G74710,ATICS1;EDS16;ICS1;SID2,ARABIDOPSIS ISOCHORISMATE SYNTHASE 1;ENHANCED DISEASE SUSCEPTIBILITY TO ERYSIPHE ORONTII 16;ISOCHORISMATE SYNTHASE 1;SALICYLIC ACID INDUCTION DEFICIENT 2
AT5G03350.1,-1.1885179725257646,0.2059142295707559,6.492791875323041,49.314295726536706,1.9567563124139456e-11,8.651437580228079e-9,AT5G03350,NA,NA
AT2G32680.1,-0.10942209663171029,-1.9567376578942601,4.083897882044342,49.08596393142381,2.1934026449757706e-11,9.483837797088459e-9,AT2G32680,AtRLP23;RLP23,receptor like protein 23;receptor like protein 23
AT5G52810.1,-0.028736971219739588,-0.895455949192648,5.155392295020539,49.076740753274976,2.2035410758199778e-11,9.483837797088459e-9,AT5G52810,SARD4,SAR DEFICIENT 4
AT4G04223.1,3.8591390372740375,-0.9013684421702552,4.9547413551333666,49.05313957441446,2.2296981904945783e-11,9.483837797088459e-9,AT4G04223,NA,NA
AT1G65800.1,-0.2881856437230945,-0.5654469038880175,6.419900445996047,48.462111940027235,2.996305569430503e-11,1.258523246800047e-8,AT1G65800,ARK2;AtARK2;RK2,receptor kinase 2;NA;receptor kinase 2
AT1G33720.1,0.17180019626301757,-1.8026883079034508,2.0569550590532724,48.32310033346314,3.211974497201604e-11,1.332453914258868e-8,AT1G33720,CYP76C6,"""cytochrome P450, family 76, subfamily C, polypeptide 6"""
AT4G27850.1,-0.7528404010226463,-1.0391445055098625,0.9043312235659486,48.167827095329656,3.471276782986746e-11,1.4224614934380564e-8,AT4G27850,NA,NA
AT3G26440.1,-0.7927864979742552,-0.21092601484900592,4.1294146739442406,47.92875588979355,3.9120364829546103e-11,1.583762046990853e-8,AT3G26440,NA,NA
AT4G10500.1,-0.9332938835012604,-0.38150827279766475,3.867664296858653,47.72956173305418,4.3217272831553176e-11,1.7287938115307736e-8,AT4G10500,DLO1,DMR6-LIKE OXYGENASE 1
AT4G23570.3,0.2991153847036676,-1.1491152447482922,6.696750090987465,47.585052263808215,4.645550552286278e-11,1.8364681136226297e-8,AT4G23570,SGT1A,"NA"
AT4G25110.1,-0.02226060248817524,-1.3581017126767654,4.308562854740433,47.54296411475146,4.744347766273867e-11,1.8537159725852847e-8,AT4G25110,AtMC2;AtMCP1c;MC2;MCP1c,metacaspase 2;metacaspase 1c;metacaspase 2;metacaspase 1c
AT2G32160.3,-0.777724352325628,-1.32755344128817,2.866386234120053,46.96066394229556,6.347773057486728e-11,2.451699658364012e-8,AT2G32160,NA,NA
AT3G61280.1,-0.5996581916546091,-1.2707610120825366,3.5254765758854396,46.82592810743277,6.790142779227752e-11,2.5927542916773966e-8,AT3G61280,NA,NA
AT1G76040.2,-0.10932859134428931,-0.6806286785528554,5.798395807970427,46.66555997106421,7.357027930552362e-11,2.777650028341803e-8,AT1G76040,CPK29,calcium-dependent protein kinase 29
AT1G52590.1,-0.6358307436492695,-0.2698562023073416,4.398286488016941,45.880456795939004,1.0893950388875287e-10,4.067316899633193e-8,AT1G52590,NA,NA
AT4G09770.1,-0.48461303314775855,-1.094907842018838,1.0165537328034895,45.644669013852194,1.2257052872514454e-10,4.52595044639814e-8,AT4G09770,NA,NA
AT4G25940.1,-0.38538707239901093,-0.2620524040695246,5.556452426020911,45.348654410424,1.4212314650962744e-10,5.1908934445831534e-8,AT4G25940,NA,NA
AT4G29700.1,-1.2669472075993338,0.0726670135954647,3.9798600211413677,45.21530146395262,1.5192247896695684e-10,5.489138858330843e-8,AT4G29700,NA,NA
AT1G14200.1,-0.010467941824092927,-1.1777695003676085,4.569302454345024,45.0855826541462,1.621026519961432e-10,5.7946524599727705e-8,AT1G14200,NA,NA
AT2G43018.1,2.9410433226095223,-2.2662289609384176,4.4146864483428105,44.82241153280532,1.8490003903846062e-10,6.540011696600373e-8,AT2G43018,NA,NA
AT5G45500.1,-0.021631709277673154,-0.7014941743099492,6.389681526763107,44.71579380028036,1.9502430967395803e-10,6.826257139233685e-8,AT5G45500,NA,NA
AT1G38065.1,0.5413992062787321,7.005851698141995,-1.8211741771577308,44.291774667263326,2.4108119423662464e-10,8.351350813133053e-8,AT1G38065,NA,NA
AT5G51440.1,1.5103001775782308,-2.075844043582703,5.341438114090308,44.17306531448213,2.558236803850574e-10,8.771619702345612e-8,AT5G51440,NA,NA
AT3G45260.1,-0.24514982620644615,-0.4604734676541982,6.134700468400875,44.12524583351521,2.6201406857508554e-10,8.809275038046567e-8,AT3G45260,BIB,BALDIBIS
AT3G55910.1,-5.334858186720205,-1.382693268375546,-2.0835035483811395,44.10821795575086,2.642543636762866e-10,8.809275038046567e-8,AT3G55910,NA,NA
AT1G56120.1,-0.32779317320925644,-1.509866584517685,3.6587470061650715,44.10419189413744,2.647868516286838e-10,8.809275038046567e-8,AT1G56120,NA,NA
AT1G77990.1,0.37005229846516935,0.4376594340378611,4.320317793116548,43.925219667418226,2.895741172032976e-10,9.539479888495301e-8,AT1G77990,AST56;SULTR2;2,NA;SULPHATE TRANSPORTER 2;2
AT5G49740.1,0.19257763114328583,0.8293790859153071,4.661361068960337,43.84557772736757,3.0133790776495763e-10,9.830637258949619e-8,AT5G49740,ATFRO7;FRO7,FERRIC REDUCTION OXIDASE 7;ferric reduction oxidase 7
AT4G23310.1,1.123971593328472,-3.11532317971129,0.8191858805087798,42.866802408643494,4.915776493806768e-10,1.5882684783162984e-7,AT4G23310,CRK23,cysteine-rich RLK (RECEPTOR-like protein kinase) 23
AT5G37300.1,2.197629908013143,-0.7654288134110787,1.1346557389938867,42.64182427927348,5.501048939371283e-10,1.7604404424833702e-7,AT5G37300,WSD1,"NA"
AT2G30750.1,-1.0568453426782118,-0.2765193987999135,5.499202993228323,42.57357595046771,5.692007254339057e-10,1.8043662996254812e-7,AT2G30750,CYP71A12,"cytochrome P450, family 71, subfamily A, polypeptide 12"
AT2G15880.1,-1.3771223738428697,1.1638975353621719,5.6286177215285775,42.53660095461936,5.798216977577211e-10,1.8208568867341071e-7,AT2G15880,LRX10,leucine-rich repeat/extensin 10
AT1G76720.1,-0.9849358209475892,0.30226049001074495,3.5487636963943427,42.38650588554,6.25010327224163e-10,1.9407382115255202e-7,AT1G76720,NA,NA
AT2G26400.1,-1.8209265439625615,0.18655599064255193,3.3100429157658766,42.37204042923658,6.295472443791492e-10,1.9407382115255202e-7,AT2G26400,ARD;ARD3;ATARD3,ACIREDUCTONE DIOXYGENASE;acireductone dioxygenase 3;acireductone dioxygenase 3
AT2G21900.1,-3.107734717386705,1.1458071665500853,-0.07200032398465131,42.2553798734432,6.673610335801494e-10,2.0386059500327438e-7,AT2G21900,ATWRKY59;WRKY59,NA;WRKY DNA-binding protein 59
AT5G65070.3,-1.8644541918016755,1.053345702093886,1.2198365368063186,41.96152035807443,7.729859997857073e-10,2.339988789621562e-7,AT5G65070,AGL69;FCL4;MAF4,AGAMOUS-like 69;NA;MADS AFFECTING FLOWERING 4
AT1G17600.1,-0.6792887961852245,-0.20500175987200228,3.8787430750155365,41.775135725738906,8.484857184947056e-10,2.545608670790991e-7,AT1G17600,SOC3,"NA"
AT1G71000.1,1.5802890948645931,-2.9314414865696454,1.3526420336857916,41.60454900573828,9.24031916821201e-10,2.747727475135044e-7,AT1G71000,NA,NA
AT1G48210.1,-0.2623584923419868,-0.4746458611518958,6.267445056184981,41.58512290546044,9.330508147572026e-10,2.750208199778204e-7,AT1G48210,NA,NA
AT3G23010.1,-1.0056095427436171,-0.10749583990922582,1.5293645013044317,41.55619576886833,9.466441258618831e-10,2.7660118188879127e-7,AT3G23010,AtRLP36;RLP36,receptor like protein 36;receptor like protein 36
AT5G45000.1,-0.779345386677798,-1.0002653280573126,1.5126476629664876,41.513492117287306,9.67074038125369e-10,2.8013467094041934e-7,AT5G45000,NA,NA
AT5G41080.1,1.5102289493196117,-0.6352072667476044,5.339611300799274,41.40052114606767,1.0232719259470018e-9,2.938801987664201e-7,AT5G41080,AtGDPD2;GDPD2,NA;glycerophosphodiester phosphodiesterase 2
AT1G21100.1,-0.5647500884868142,-0.39378149526179235,5.062551876764843,41.353043812091926,1.0478536517810427e-9,2.9838964751819147e-7,AT1G21100,IGMT1,indole glucosinolate O-methyltransferase 1
AT5G02230.1,0.356675517003377,0.47275249260837704,3.528473733298917,41.21699854716353,1.1216115817759374e-9,3.1670917958684917e-7,AT5G02230,NA,NA
AT5G35940.1,-1.1146818301582706,0.2699900379572618,2.8424932920204955,40.785602022341386,1.3916148365947526e-9,3.8967534782714063e-7,AT5G35940,NA,NA
AT1G07400.1,1.4321582514938538,-2.720337005782703,5.403046190562086,40.76806929328354,1.4038678683381386e-9,3.8985758770163747e-7,AT1G07400,NA,NA
AT2G29500.1,0.8957503781319349,-2.1220368158450365,4.533166198144082,40.74603524168366,1.4194198277311777e-9,3.909454512411724e-7,AT2G29500,NA,NA
AT4G04700.1,-0.3685909205146169,-0.5718208269153888,3.9170540330196224,40.54282543043598,1.5712211533813853e-9,4.292371804546448e-7,AT4G04700,CPK27,calcium-dependent protein kinase 27
AT3G16670.1,-0.8781381078534776,0.2907208967918314,7.770338996883663,40.398671363096256,1.6886512871829292e-9,4.5759726251549026e-7,AT3G16670,NA,NA
AT2G24165.1,0.4550060195302764,-2.342808541012204,0.45259634794102427,40.28446214450027,1.787887516783892e-9,4.806127707117787e-7,AT2G24165,NA,NA
AT5G52760.1,-0.1303920200550455,-1.81622043980093,2.7920154548475375,39.70949216470729,2.3833802534178302e-9,6.35605899010682e-7,AT5G52760,NA,NA
AT3G08970.1,0.4919443326385832,-1.59843139732455,3.3900130111253555,39.627064511128246,2.4836607517689075e-9,6.57133610873534e-7,AT3G08970,ATERDJ3A;TMS1,NA;THERMOSENSITIVE MALE STERILE 1
AT3G02515.1,-1.654244626602931,0.48697782880264573,0.8344086946768132,39.574518908274555,2.5497782199238884e-9,6.69356623014707e-7,AT3G02515,SADHU6-1,sadhu non-coding retrotransposon 6-1
AT3G26170.1,-0.5489167674205234,-0.8120147334753923,3.6636198029414433,39.28292349101846,2.949996817203805e-9,7.684170004006377e-7,AT3G26170,CYP71B19,"""cytochrome P450, family 71, subfamily B, polypeptide 19"""
AT4G23170.1,-0.6528715017947676,-0.2704684197792033,6.117808306639491,39.193181848110044,3.0853802667570174e-9,7.972120735651754e-7,AT4G23170,CRK9;EP1,CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 9;NA
AT3G21950.1,0.9962211954240067,-0.23635947777967606,2.6989112221977782,39.17857729709362,3.1079930253270034e-9,7.972120735651754e-7,AT3G21950,NA,NA
AT4G04990.1,-0.8026204749854424,-0.499040609101157,2.1026430143593395,39.12753696222089,3.188330277673948e-9,8.116232878060607e-7,AT4G04990,NA,NA
AT3G56400.1,-0.711556246361097,-0.47310456986263716,6.970117489957117,38.52831541055569,4.302120891439228e-9,1.086916287173992e-6,AT3G56400,ATWRKY70;WRKY70,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 70;WRKY DNA-binding protein 70
AT5G64810.1,-0.49057673379708294,-1.068194233735975,3.0147352427067142,38.498866111930276,4.365936793236e-9,1.094807523330717e-6,AT5G64810,ATWRKY51;WRKY51,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 51;WRKY DNA-binding protein 51
AT3G48640.1,0.36825854385702295,-1.9138199151882596,0.7266472823460965,38.475377791326444,4.417513323515831e-9,1.0995354273835478e-6,AT3G48640,NA,NA
AT5G60440.1,-1.8814886720624422,-0.39778597433951013,-0.34010087727193083,37.8628432986689,6.000508331835661e-9,1.4825667718113373e-6,AT5G60440,AGL62,AGAMOUS-like 62
AT4G23200.1,-0.4724602015607355,-0.6219237467392698,4.1123793361591945,37.6096941850805,6.810181313520339e-9,1.6703336678606602e-6,AT4G23200,CRK12,cysteine-rich RLK (RECEPTOR-like protein kinase) 12
AT5G22560.1,-0.8085627225286725,-0.7432779677912019,0.875721926232021,37.14404819561582,8.595525173154175e-9,2.0929480932487433e-6,AT5G22560,NA,NA
AT3G20590.1,-1.4646859660939922,-0.25203915109133324,0.31776461043675874,36.913655513570106,9.644984894048186e-9,2.331588362660483e-6,AT3G20590,NA,NA
AT3G60420.2,-0.1724361978066569,-0.941362161093497,4.512210377191394,36.76264278440932,1.0401441941334047e-8,2.4964946579479046e-6,AT3G60420,NA,NA
