genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT2G26150.1,-0.03242759650996225,-5.154475165005799,5.468707048767031,269.1434119960078,3.599570341099728e-59,1.0798068242881129e-56,AT2G26150,ATHSFA2;HSFA2,heat shock transcription factor A2;heat shock transcription factor A2
AT2G29500.1,0.20331975721219828,-4.800756330193854,4.535582926320622,268.91073318827097,4.043674840512559e-59,1.1917490113293066e-56,AT2G29500,NA,NA
AT3G14620.1,-1.1864846536154832,-1.2347249168837022,6.365410753316892,266.9142992012059,1.0972266765154058e-58,3.177984644617638e-56,AT3G14620,CYP72A8,"""cytochrome P450, family 72, subfamily A, polypeptide 8"""
AT5G10695.1,-0.9197067283616757,-1.2872432119108612,3.5654849722858013,261.92217855215847,1.3314399484533476e-57,3.790993168486065e-55,AT5G10695,NA,NA
AT5G35940.1,-3.0539887203895257,0.21833442202292302,2.8425889077857622,260.69962209743335,2.4535580882719818e-57,6.869553720813505e-55,AT5G35940,NA,NA
AT1G76040.2,-0.4367765854619112,-1.4343270200149636,5.799819903065068,260.2098946040094,3.1342910202101086e-57,8.631631942378626e-55,AT1G76040,CPK29,calcium-dependent protein kinase 29
AT5G52810.1,-0.6933754033022933,-1.4352821387436534,5.156544121115063,259.729959224665,3.9843360590182107e-57,1.0795622815394664e-54,AT5G52810,SARD4,SAR DEFICIENT 4
AT4G03450.1,-2.0835054278064997,-1.8203776812361754,3.021772396996075,259.66187526893555,4.1223057966550787e-57,1.099216112349344e-54,AT4G03450,NA,NA
AT5G55450.1,-1.0623484682904865,-1.1039295976170844,5.193509342158983,255.5223347931924,3.2661039144141956e-56,8.573012446600636e-54,AT5G55450,AtLTP4.4,"NA"
AT4G23570.3,-0.36171238546279183,-1.7154361713629513,6.698504979418052,253.42710542718714,9.311148950809548e-56,2.4064306342253783e-53,AT4G23570,SGT1A,"NA"
AT5G60900.1,-1.280956939528673,-1.813989388304354,2.7776358512056065,252.77228404173778,1.2918019366517207e-55,3.288027383910948e-53,AT5G60900,RLK1,receptor-like protein kinase 1
AT3G23120.1,-2.306818616439618,-2.23410266701862,3.631240476949821,249.36812925654283,7.085960885089054e-55,1.7766724911732987e-52,AT3G23120,AtRLP38;RLP38,receptor like protein 38;receptor like protein 38
AT1G65790.1,-1.7000950368453585,-1.2937084231479288,3.439036498195836,244.92628547004298,6.530296098910198e-54,1.6132712377293e-51,AT1G65790,ARK1;RK1,receptor kinase 1;receptor kinase 1
AT3G47500.1,2.7460660457499366,-1.1515564862755674,4.309407896969848,242.25166916293358,2.4872441916072174e-53,6.055538431131833e-51,AT3G47500,CDF3,cycling DOF factor 3
AT5G38005.1,2.8909342717298725,0.5114807201054664,2.588554065053231,240.099132876086,7.2968554176377575e-53,1.7511410594413814e-50,AT5G38005,NA,NA
AT3G56400.1,-2.0664292979401693,-1.1018498128836733,6.971963561942948,237.78327695558536,2.3228302044519397e-52,5.49594712740678e-50,AT3G56400,ATWRKY70;WRKY70,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 70;WRKY DNA-binding protein 70
AT2G44290.1,-1.3171598437157201,-0.7196273689089586,4.890446759753836,232.27477123482564,3.6490035316104654e-51,8.42682726795045e-49,AT2G44290,NA,NA
AT2G34420.1,1.21520551166574,1.6603979542865912,10.643944692820808,232.26772883248896,3.661875055422244e-51,8.42682726795045e-49,AT2G34420,LHB1B2;LHCB1.5,photosystem II light harvesting complex gene B1B2;PHOTOSYSTEM II LIGHT HARVESTING COMPLEX GENE 1.5
AT1G14200.1,-0.7875955796019551,-2.038724219080394,4.57069726924686,231.53229589415972,5.2893311204486204e-51,1.2007496417894104e-48,AT1G14200,NA,NA
AT2G29120.1,-0.401817270296271,-1.627685250288425,5.28762139558695,230.85814954589915,7.409514886431457e-51,1.6596325410288274e-48,AT2G29120,ATGLR2.7;GLR2.7;GLR2.7,glutamate receptor 2.7;GLUTAMATE RECEPTOR  2.7;glutamate receptor 2.7
AT3G27220.1,-2.0947768596590715,0.644544366868588,4.893361400910855,227.58550134273233,3.8057153578573915e-50,8.412133196927147e-48,AT3G27220,NA,NA
AT2G47520.1,-2.9338214102415416,-0.7341670458015415,1.977106500593206,225.5659296942609,1.0446738271625549e-49,2.2791526782472413e-47,AT2G47520,AtERF71;ERF71;HRE2,Arabidopsis thaliana ethylene response factor 71;ethylene response factor 71;HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2
AT4G13510.1,-1.4261517283490737,-0.06531750660504704,7.936610007007895,225.2699727475595,1.2112866998631902e-49,2.6087699065386837e-47,AT4G13510,AMT1;1;ATAMT1;ATAMT1;1,ammonium transporter 1;1;ARABIDOPSIS THALIANA AMMONIUM TRANSPORT 1;NA
AT5G52640.1,-0.3577527780884612,-4.532855333284701,8.59013751200837,221.08536515009206,9.815737663578908e-49,2.0872731267147097e-46,AT5G52640,ATHS83;AtHsp90-1;ATHSP90.1;HSP81-1;HSP81.1;HSP83;HSP90.1,NA;HEAT SHOCK PROTEIN 90-1;heat shock protein 90.1;HEAT SHOCK PROTEIN 81-1;NA;HEAT SHOCK PROTEIN 83;heat shock protein 90.1
AT3G13310.1,-1.146688554278462,0.10575594626790645,5.112441131893688,219.80438252572532,1.862450699495176e-48,3.9109136626024325e-46,AT3G13310,DJC66,DNA J protein C66
AT1G12805.1,-3.4029079984581547,0.4967535605677271,3.631763755483713,218.7063570623506,3.224912869066017e-48,6.688310035486423e-46,AT1G12805,NA,NA
AT1G09932.1,-0.7791358873524036,-1.2077318109945157,4.599999641626128,217.94538511913626,4.718032663584678e-48,9.665637892141342e-46,AT1G09932,NA,NA
AT2G43010.1,1.011679753995256,1.339294720314967,5.469235560533921,216.9011971712306,7.9524962898235e-48,1.6095660864186143e-45,AT2G43010,AtPIF4;PIF4;SRL2,NA;phytochrome interacting factor 4;NA
AT4G23140.2,-2.7540626080737347,-1.5817491388332152,4.8812593269120335,214.91234711710408,2.1496946572457804e-47,4.299133398460936e-45,AT4G23140,CRK6,cysteine-rich RLK (RECEPTOR-like protein kinase) 6
AT3G12580.1,-0.8514314231620114,-4.041675336926281,8.412756490947887,213.6586634042623,4.023562356625606e-47,7.951979297523948e-45,AT3G12580,ATHSP70;HSC70-4;HSP70,ARABIDOPSIS HEAT SHOCK PROTEIN 70;NA;heat shock protein 70
AT1G74310.1,-0.19539406018584726,-4.40487508617296,7.225995726153932,213.20943670563685,5.036850660897043e-47,9.838843517722027e-45,AT1G74310,ATHSP101;HOT1;HSP101,heat shock protein 101;NA;heat shock protein 101
AT1G71000.1,1.683428691502934,-6.213959740981844,1.3538590564357667,211.9622444494925,9.3968746126528e-47,1.8144608806661424e-44,AT1G71000,NA,NA
AT2G40100.1,-1.8045382781688661,-0.28411403348342057,4.35080805525621,210.59696817835146,1.8597279034392227e-46,3.5501783011222165e-44,AT2G40100,LHCB4.3,light harvesting complex photosystem II
AT3G47720.1,-4.223699168069368,1.361697221716908,1.8071596208748528,210.18043766263884,2.290328933666439e-46,4.3230601973778104e-44,AT3G47720,SRO4,similar to RCD one 4
AT5G39890.1,-3.2020475691299843,1.0662839101762844,4.265988931647884,210.01133479112445,2.492401945259003e-46,4.652206697600665e-44,AT5G39890,PCO2,plant cysteine oxidase 2
AT2G17850.1,-3.4752253190509905,0.5946482007488187,3.0600135887192286,205.10115482086232,2.9030205801900934e-45,5.35910359633114e-43,AT2G17850,NA,NA
AT5G67030.1,0.8972526524994376,0.6711020235100096,6.229500146170028,198.72393048790244,7.041201672968984e-44,1.2857081185239777e-41,AT5G67030,ABA1;ATABA1;ATZEP;IBS3;LOS6;NPQ2;ZEP,ABA DEFICIENT 1;ARABIDOPSIS THALIANA ABA DEFICIENT 1;ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE;IMPAIRED IN BABA-INDUCED STERILITY 3;LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6;NON-PHOTOCHEMICAL QUENCHING 2;ZEAXANTHIN EPOXIDASE
AT3G46230.1,-0.14473827958023494,-5.185719525591406,1.4597961375148276,197.65198379469902,1.203419516406469e-43,2.1737897264636851e-41,AT3G46230,ATHSP17.4;HSP17.4,ARABIDOPSIS THALIANA HEAT SHOCK PROTEIN 17.4;heat shock protein 17.4
AT5G46490.2,-0.9151762615299224,-0.28340369144491345,4.770856612467684,196.4213437087469,2.2266253523411855e-43,3.9792637546786784e-41,AT5G46490,NA,NA
AT1G36180.1,1.4341550439127329,0.2783869189667671,4.3758922209076445,194.41950757089606,6.0581544851551395e-43,1.0712730231170653e-40,AT1G36180,ACC2,acetyl-CoA carboxylase 2
AT5G24210.1,-2.035116839870083,-0.8160557558140968,6.671714205431949,194.29394012515596,6.4507018327419585e-43,1.1288056259190851e-40,AT5G24210,NA,NA
AT3G52430.1,-0.482752450489259,-1.4612787771090754,4.826863059507401,192.82126791949483,1.3470808878581272e-42,2.3329496737246062e-40,AT3G52430,ATPAD4;PAD4,ARABIDOPSIS PHYTOALEXIN DEFICIENT 4;PHYTOALEXIN DEFICIENT 4
AT5G63810.1,0.506939207928222,0.8650212553595592,6.163988223303672,192.48044628891026,1.5973575956527973e-42,2.738164311160341e-40,AT5G63810,AtBGAL10;BGAL10,Arabidopsis thaliana beta-galactosidase 10;beta-galactosidase 10
AT5G45070.1,-0.3229126236706618,-1.737149310257182,4.416301776435439,192.3617261077342,1.6950476489001645e-42,2.876273278169077e-40,AT5G45070,AtPP2-A8;PP2-A8,phloem protein 2-A8;phloem protein 2-A8
AT5G48570.1,-0.3418436117832439,-4.893722421423276,6.804356564720442,189.51825854583365,7.024785162018482e-42,1.1800936593674847e-39,AT5G48570,ATFKBP65;FKBP65;ROF2,NA;NA;NA
AT4G27310.1,1.8243808655535863,0.7314276434465083,2.261009470311694,188.0342923264852,1.4752723982389147e-41,2.4537723780213392e-39,AT4G27310,BBX28,B-box domain protein 28
AT2G26400.1,-2.9368075780294607,-2.5799455898416137,3.312418552555289,187.77615834429565,1.6785152797405504e-41,2.7644488416040692e-39,AT2G26400,ARD;ARD3;ATARD3,ACIREDUCTONE DIOXYGENASE;acireductone dioxygenase 3;acireductone dioxygenase 3
AT2G27550.1,-1.40931430873366,-0.13564766446575835,3.842281846029535,187.18077422852178,2.2605354239908861e-41,3.686867435691543e-39,AT2G27550,ATC,centroradialis
AT3G11010.1,-0.7621100157225932,-2.131778076201104,6.228646079363452,187.02825891669977,2.4396616323099284e-41,3.940757284728316e-39,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G42220.1,0.9773013963357395,0.7427677286984562,7.24673235966215,186.29283815559614,3.5239049480206813e-41,5.6379123068380405e-39,AT2G42220,NA,NA
AT1G19960.1,-2.1171789002368535,-1.178618016913307,3.6569235375334936,185.62248900213788,4.927069117057186e-41,7.808474914853176e-39,AT1G19960,NA,NA
AT3G25882.1,-0.4227530683701809,-3.7131595990977946,3.887440565064973,184.4851868064913,8.700629762284298e-41,1.3659988726786347e-38,AT3G25882,NIMIN-2,NIM1-interacting 2
AT5G35970.1,1.3598971153535426,0.18878963193665382,4.923746352303814,183.8703051849791,1.183233715596143e-40,1.8404762211388526e-38,AT5G35970,NA,NA
AT4G10500.1,-0.332958848471111,-2.988063673802687,3.869939993521004,183.27038563825968,1.5971342037829666e-40,2.461491512784409e-38,AT4G10500,DLO1,DMR6-LIKE OXYGENASE 1
AT1G34750.1,-0.46583535831060874,-1.084839922903763,5.220985988475587,183.04023252487747,1.7919196176473543e-40,2.736587059714355e-38,AT1G34750,CIPP1,CERK-1 interacting protein phosphatase 1
AT4G27450.1,-2.3436418813925965,0.9216408119115503,7.2768290533428495,182.90837558948255,1.9140394900358394e-40,2.8967521975776635e-38,AT4G27450,NA,NA
AT1G72930.1,-2.103311384480971,0.9544593061259017,6.4806506186239785,180.9677366278649,5.050743225523801e-40,7.575663879069136e-38,AT1G72930,AtTN10;TIR;TN10,NA;toll/interleukin-1 receptor-like;TIR-nucleotide binding site family 10
AT2G31880.1,-1.5074479374382563,-0.02310077262801644,7.527893204756835,180.661828770289,5.885486085205025e-40,8.749582366845948e-38,AT2G31880,EVR;SOBIR1,EVERSHED;SUPPRESSOR OF BIR1 1
AT4G33070.1,-2.9309064140624512,0.4047469253650933,6.913812444288586,180.3397887854827,6.9137302591544e-40,1.018804865118726e-37,AT4G33070,AtPDC1;PDC1,NA;pyruvate decarboxylase 1
AT2G29650.1,1.0179205972505838,0.8083407690438629,5.2629192280436525,178.52268238796538,1.715110367517889e-39,2.5054033968637402e-37,AT2G29650,ANTR1;PHT4;1,anion transporter 1;phosphate transporter 4;1
AT5G54710.1,-2.0115200577917847,0.7606991096443074,6.929825823589959,178.50356697808647,1.7315814739511525e-39,2.507658377664259e-37,AT5G54710,NA,NA
AT2G25510.1,-1.7754264205650054,-0.2783062694764045,8.657880654467847,178.2621033096113,1.9537819816030326e-39,2.8052635477734485e-37,AT2G25510,NA,NA
AT3G09350.1,0.17613954614644023,-3.8196369307852818,6.27442004169016,177.29269194072026,3.1723500578729276e-39,4.516297340865026e-37,AT3G09350,Fes1A,Fes1A
AT1G67105.1,-2.7801330263957684,0.15054606407351978,4.110623417065782,172.55122824484357,3.3960718020571263e-38,4.794168924601485e-36,AT1G67105,NA,NA
AT3G56940.1,0.8102916020932195,0.7140503173847286,8.994634961496038,172.05934943954048,4.3429715988307315e-38,6.079798324063122e-36,AT3G56940,ACSF;CHL27;CRD1,NA;NA;COPPER RESPONSE DEFECT 1
AT1G71030.1,0.33363686237661866,2.5884403389194888,4.765169183927729,171.61652449576712,5.4193250918012e-38,7.523904315468459e-36,AT1G71030,ATMYBL2;MYBL2,ARABIDOPSIS MYB-LIKE 2;MYB-like 2
AT4G27440.1,0.6132866322942728,1.177334369198988,8.783394699930891,171.59478491815418,5.478553327065477e-38,7.543788306669914e-36,AT4G27440,PORB,protochlorophyllide oxidoreductase B
AT5G06980.4,2.0036419637495504,0.5443512715501139,2.100052403032676,171.4425037407701,5.911985100258144e-38,8.074425829206224e-36,AT5G06980,LNK4,night light-inducible and clock-regulated 4
AT2G15890.1,-1.1530112824421894,3.0189736399463425,7.767214157060968,171.35479685502764,6.177014760244217e-38,8.368360561076016e-36,AT2G15890,CBP1;MEE14,CCG-BINDING PROTEIN 1;maternal effect embryo arrest 14
AT4G26070.2,-1.3017449409384596,-0.11256564331529434,5.602397163644668,170.75503440468347,8.337107481326204e-38,1.1204405486303912e-35,AT4G26070,ATMEK1;MEK1;MKK1;NMAPKK,NA;MAP kinase/ ERK kinase 1;MITOGEN ACTIVATED PROTEIN KINASE KINASE 1;NA
AT3G24500.1,-0.2296680892973092,-3.9188800354023363,5.684370914332291,167.79099475604636,3.6698510035570136e-37,4.892843413393197e-35,AT3G24500,ATMBF1C;MBF1C,NA;multiprotein bridging factor 1C
AT5G52760.1,-2.311173091366647,-2.2066683101462257,2.794066216140723,167.35815160625503,4.556581346545148e-37,6.027244885087554e-35,AT5G52760,NA,NA
AT2G01170.1,-1.4100296206918237,0.2451667562393713,4.82950875377452,167.05756969318324,5.295532783940854e-37,6.949973065423625e-35,AT2G01170,AtGABP;BAT1;GABP,NA;bidirectional amino acid transporter 1;GABA permease
AT3G29240.1,-1.1439523408969652,-1.0884936895792556,6.883984448710863,166.72902087651687,6.2409848753876365e-37,8.127310459041621e-35,AT3G29240,NA,NA
AT2G15090.1,-0.717537369535928,2.3175958439364255,6.942767916622125,165.49550907132362,1.15639662443144e-36,1.4943312995249047e-34,AT2G15090,KCS8,3-ketoacyl-CoA synthase 8
AT5G62520.1,-2.230999948335885,0.683624370601612,2.8632377892367975,164.9479080278398,1.520606599499752e-36,1.949974829389033e-34,AT5G62520,SRO5,similar to RCD one 5
AT1G33055.1,-3.269652252175169,1.6586618248095515,3.7175545342043734,164.84849621526607,1.5980997068184898e-36,2.0338240132457433e-34,AT1G33055,NA,NA
