genes,logFC,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT1G76040.2,2.3960848521529563,5.798395807970427,367.4086961372806,6.861302514868977e-82,1.0978737481172732e-78,AT1G76040,CPK29,calcium-dependent protein kinase 29
AT1G14880.1,6.139000102489927,3.341421828391731,357.1155370346877,1.1958436487755862e-79,1.8264881039162383e-76,AT1G14880,AtPCR1;PCR1,NA;PLANT CADMIUM RESISTANCE 1
AT1G34750.1,2.3953259498784574,5.219571322330745,351.4754561783342,2.0222741200522324e-78,2.9544545644345704e-75,AT1G34750,CIPP1,CERK-1 interacting protein phosphatase 1
AT5G52640.1,6.271992058149572,8.587349270963044,339.8121162237999,7.011135774242682e-76,9.816174345254275e-73,AT5G52640,ATHS83;AtHsp90-1;ATHSP90.1;HSP81-1;HSP81.1;HSP83;HSP90.1,NA;HEAT SHOCK PROTEIN 90-1;heat shock protein 90.1;HEAT SHOCK PROTEIN 81-1;NA;HEAT SHOCK PROTEIN 83;heat shock protein 90.1
AT3G28080.1,-3.1591774304532394,4.1051476249289,338.8510699158205,1.1352417605888782e-75,1.5258557455722993e-72,AT3G28080,UMAMIT47,Usually multiple acids move in and out Transporters 47
AT4G23200.1,4.0328565422493305,4.1123793361591945,326.8022790812452,4.778211604267772e-73,6.175287166407911e-70,AT4G23200,CRK12,cysteine-rich RLK (RECEPTOR-like protein kinase) 12
AT2G20560.1,3.978309521198715,5.116092994929754,322.30146868282185,4.56664294520595e-72,5.683271712770753e-69,AT2G20560,NA,NA
AT3G45780.1,-2.4139217652222427,7.527240366061119,319.3226900734804,2.0343912873507914e-71,2.4414148584843322e-68,AT3G45780,JK224;NPH1;PHOT1;RPT1,NA;NONPHOTOTROPIC HYPOCOTYL 1;phototropin 1;ROOT PHOTOTROPISM 1
AT2G40750.1,3.5290924234904955,5.5410674821322425,315.8322377661824,1.1715165733798975e-70,1.3574241344383212e-67,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT2G46440.1,2.0826027084656658,5.868410556181263,303.7601578718322,4.995469544500145e-68,5.595258921143129e-65,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT1G24147.1,2.9604582223540876,4.0177611142044505,303.11975704055453,6.88799621898832e-68,7.4661435145305015e-65,AT1G24147,NA,NA
AT5G49730.1,-3.5416343489273765,5.757619281926814,294.36899361624614,5.554132404725379e-66,5.832186158236944e-63,AT5G49730,ATFRO6;FRO6;FRO6,ferric reduction oxidase 6;NA;ferric reduction oxidase 6
AT3G05660.1,4.242712775396917,4.8148745213361455,288.92158877035627,8.541494083766914e-65,8.6973116425071465e-62,AT3G05660,AtRLP33;RLP33,receptor like protein 33;receptor like protein 33
AT3G11010.1,3.79853070965212,6.226752630794775,288.44096177747025,1.0870755730985819e-64,1.0743503943311337e-61,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G15890.1,-2.94456169058426,7.769113890379974,286.52555225218356,2.8419898636947777e-64,2.728472668567769e-61,AT2G15890,CBP1;MEE14,CCG-BINDING PROTEIN 1;maternal effect embryo arrest 14
AT1G71000.1,7.041648316032873,1.3526420336857916,284.11184948381805,9.540601796368937e-64,8.90509171004414e-61,AT1G71000,NA,NA
AT4G12400.2,4.672783265642312,6.656502080354385,282.9756292291568,1.6872016342405126e-63,1.5322526841553974e-60,AT4G12400,Hop3,Hop3
AT5G10760.1,3.657146789607928,4.573285163619751,282.6967179022284,1.9406376748541355e-63,1.7160343986960176e-60,AT5G10760,AED1,"APOPLASTIC, EDS1-DEPENDENT 1"
AT5G51440.1,4.40579274162141,5.341438114090308,281.2825680934287,3.9455229283884067e-63,3.3994220881976215e-60,AT5G51440,NA,NA
AT2G29500.1,4.5299346113985655,4.533166198144082,280.77041277385416,5.101649966493119e-63,4.2856410543525443e-60,AT2G29500,NA,NA
AT5G10695.1,2.546649009474265,3.5643220402067417,280.209459742858,6.760071534621411e-63,5.540290822106065e-60,AT5G10695,NA,NA
AT3G08970.1,3.653072191607484,3.3900130111253555,275.04786480485757,9.011271477067373e-62,7.209446289819473e-59,AT3G08970,ATERDJ3A;TMS1,NA;THERMOSENSITIVE MALE STERILE 1
AT2G41110.2,2.232218336224832,6.296313795571016,274.67047944099374,1.08900601688026e-61,8.509948878886163e-59,AT2G41110,ATCAL5;CAM2,NA;calmodulin 2
AT3G13750.1,-2.2833785845445385,8.898807785927898,273.0680177473836,2.433671044485567e-61,1.8585503281091823e-58,AT3G13750,BGAL1;BGAL1,beta galactosidase 1;beta-galactosidase 1
AT5G05410.1,2.887406272655624,3.870896729458593,270.36093752933294,9.467704247562797e-61,7.069639958369002e-58,AT5G05410,DREB2;DREB2A,DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN 2;DRE-binding protein 2A
AT2G24600.3,2.2623929104220197,6.25966433000219,265.43982668598187,1.1189482837705686e-59,8.173673963317098e-57,AT2G24600,NA,NA
AT5G54710.1,2.805206283041116,6.928312493731655,264.4839193430034,1.8078411118903075e-59,1.292491000888045e-56,AT5G54710,NA,NA
AT1G79245.1,2.8244803359767254,10.378614971487576,262.03054614250436,6.193156641865915e-59,4.335467697499551e-56,AT1G79245,NA,NA
AT2G47730.1,2.156658437540488,9.58597554495258,261.3721801659966,8.618200696743287e-59,5.909975098203427e-56,AT2G47730,ATGSTF5;ATGSTF8;GST6;GSTF8,GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5;Arabidopsis thaliana glutathione S-transferase phi 8;NA;glutathione S-transferase phi 8
AT3G09350.1,4.447034688714821,6.271961765012674,260.4819792444955,1.347275906991389e-58,9.054233005344931e-56,AT3G09350,Fes1A,Fes1A
AT1G74310.1,5.0073643158633665,7.223435719885263,258.538260940132,3.573911060572036e-58,2.3547168521047363e-55,AT1G74310,ATHSP101;HOT1;HSP101,heat shock protein 101;NA;heat shock protein 101
AT3G50440.1,-2.709581319614819,4.004924376402364,258.27361178938486,4.081617264203545e-58,2.6375096790724523e-55,AT3G50440,ATMES10;MES10,ARABIDOPSIS THALIANA METHYL ESTERASE 10;methyl esterase 10
AT4G10120.1,-2.1602699354469412,5.744333556841633,250.3116188079786,2.22077283248765e-56,1.4079699757971703e-53,AT4G10120,ATSPS4F;SPS4F,NA;sucrose phosphate synthase 4F
AT3G25882.1,4.87963484233665,3.8847410030432536,245.79619303562663,2.142585015418895e-55,1.3332433645945502e-52,AT3G25882,NIMIN-2,NIM1-interacting 2
AT4G10500.1,3.9107103625415283,3.867664296858653,245.5904178495509,2.3757568658917685e-55,1.4514578583217311e-52,AT4G10500,DLO1,DMR6-LIKE OXYGENASE 1
AT3G11280.1,2.383693533940538,6.185251146501753,238.76355555730555,7.316585391311483e-54,4.3902125414080084e-51,AT3G11280,NA,NA
AT2G38170.3,-2.1592649962621957,6.984000450537604,235.7816251904327,3.269888199826847e-53,1.9276277770277493e-50,AT2G38170,ATCAX1;CAX1;RCI4,NA;cation exchanger 1;RARE COLD INDUCIBLE 4
AT2G38290.1,2.369965668929515,5.820105586471606,235.474996600522,3.8141404913374574e-53,2.2097025653434694e-50,AT2G38290,AMT2;AMT2;1;ATAMT2,ammonium transporter 2;AMMONIUM TRANSPORTER 2;1;ammonium transporter 2
AT1G68190.1,-3.196574202582059,4.33194707177156,234.24740641461187,7.064640165300857e-53,4.0234921836345654e-50,AT1G68190,BBX27,B-box domain protein 27
AT4G23140.2,5.011247680682764,4.878509009355845,233.07111559231348,1.2752706304584365e-52,7.141940620777397e-50,AT4G23140,CRK6,cysteine-rich RLK (RECEPTOR-like protein kinase) 6
AT2G15090.1,-2.161410149853825,6.944302408909805,232.8329533455121,1.4372713559548424e-52,7.917244607015511e-50,AT2G15090,KCS8,3-ketoacyl-CoA synthase 8
AT2G25900.1,-2.4911709694630195,5.36435774728259,231.4407535969634,2.8916280225253506e-52,1.5671691098854327e-49,AT2G25900,ATCTH;ATTZF1,NA;A. THALIANA TANDEM ZINC FINGER PROTEIN 1
AT2G27580.1,1.8232373763725134,5.319049288681131,230.71086466713822,4.1717269405139225e-52,2.225053470716648e-49,AT2G27580,SAP3,Stress Associated Protein3
AT4G12720.4,2.552185301566278,6.643868916639654,230.48820200653824,4.665243855475063e-52,2.4493988129948917e-49,AT4G12720,AtNUDT7;GFG1;NUDT7,Arabidopsis thaliana Nudix hydrolase homolog 7;GROWTH FACTOR GENE 1;NA
AT4G35180.1,7.9389102065802195,5.576759816319416,229.978025122604,6.027468372708221e-52,3.1159229578421793e-49,AT4G35180,LHT7,LYS/HIS transporter 7
AT5G25440.1,3.0773920446691556,5.1904116431206875,229.7834311854889,6.6461895971419875e-52,3.3837161036843193e-49,AT5G25440,NA,NA
AT3G12580.1,5.006279174045008,8.410236709953539,229.08471640471026,9.439573393310969e-52,4.734157390478137e-49,AT3G12580,ATHSP70;HSC70-4;HSP70,ARABIDOPSIS HEAT SHOCK PROTEIN 70;NA;heat shock protein 70
AT5G12950.1,-2.0472031070333756,6.240976024654321,225.98769373875348,4.4708750236312884e-51,2.2092697432949787e-48,AT5G12950,NA,NA
AT1G14200.1,2.8720539536950693,4.569302454345024,223.57572091901667,1.5012587874942695e-50,7.310912721359775e-48,AT1G14200,NA,NA
AT4G14365.1,3.6371370735693342,6.073015683385802,221.28784905482118,4.736685123748804e-50,2.273744193260104e-47,AT4G14365,XBAT34,XB3 ortholog 4 in Arabidopsis thaliana
AT3G14200.1,3.3659059452093056,5.634757543778953,221.15886901534873,5.053679073296972e-50,2.3917425946609135e-47,AT3G14200,NA,NA
AT5G54720.1,2.706840510427691,5.142714269348676,219.78213123565516,1.0090354597248493e-49,4.709112433010331e-47,AT5G54720,NA,NA
AT1G55910.1,2.5753409773758755,3.9486567348505632,217.8615131268583,2.6475992487839017e-49,1.218693561063516e-46,AT1G55910,ZIP11,zinc transporter 11 precursor
AT5G52810.1,2.0383614999186888,5.155392295020539,216.09439298540593,6.431763739113875e-49,2.9205422319149248e-46,AT5G52810,SARD4,SAR DEFICIENT 4
AT2G34620.1,-2.830386434985533,5.033241683353773,215.51731164116535,8.594430668137786e-49,3.850534124143545e-46,AT2G34620,mTERF10,"NA"
AT5G48380.1,1.8205318510322157,7.289785683726059,214.83206524591418,1.2125557688440362e-48,5.3610919664075405e-46,AT5G48380,BIR1,BAK1-interacting receptor-like kinase 1
AT5G11970.1,1.8265277155753494,5.2642802739324885,212.58793256689606,3.7434180660744816e-48,1.6335887513796717e-45,AT5G11970,NA,NA
AT3G23120.1,4.237701678101112,3.628816487992153,211.6051646588258,6.132966218533197e-48,2.6420503958352884e-45,AT3G23120,AtRLP38;RLP38,receptor like protein 38;receptor like protein 38
AT3G44190.1,1.8899103279059069,5.949509825725913,211.47587248753385,6.544515545477705e-48,2.7836558399891373e-45,AT3G44190,NA,NA
AT5G64810.1,4.545226140682604,3.0147352427067142,210.79985077891044,9.19099607186921e-48,3.8604481250868646e-45,AT5G64810,ATWRKY51;WRKY51,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 51;WRKY DNA-binding protein 51
AT2G46430.1,2.492361826717346,5.752234797154037,210.37412320623898,1.13826416838126e-47,4.7219694550551974e-45,AT2G46430,ATCNGC3;CNGC3;CNGC3.C,cyclic nucleotide gated channel 3;cyclic nucleotide gated channel 3;NA
AT2G20180.2,-2.0022272072503338,4.872401294897314,208.83323947496024,2.46844344446936e-47,1.0115199587934077e-44,AT2G20180,PIF1;PIL5,PHY-INTERACTING FACTOR 1;phytochrome interacting factor 3-like 5
AT4G32800.1,2.3618616142563664,3.8743709385606135,208.78770626721803,2.525558891211759e-47,1.0224557814758738e-44,AT4G32800,NA,NA
AT1G61380.1,3.037364587787141,5.708761772421232,208.07514585637662,3.612629521996483e-47,1.4451378237872121e-44,AT1G61380,LORE;SD1-29,ipooligosaccharide-specific reduced elicitation;S-domain-1 29
AT2G35960.1,-1.9985511287661608,4.752048591254328,207.95281922440873,3.841605952010605e-47,1.518654625876004e-44,AT2G35960,NHL12,NDR1/HIN1-like 12
AT2G47460.1,2.5832771289654195,3.87267143135867,207.0526571036948,6.038285878412439e-47,2.3592846754234277e-44,AT2G47460,ATMYB12;MYB12;PFG1,MYB DOMAIN PROTEIN 12;myb domain protein 12;PRODUCTION OF FLAVONOL GLYCOSIDES 1
AT2G17120.1,2.194005880084146,6.124811947179201,206.24384059093668,9.065417744291888e-47,3.5013352533758163e-44,AT2G17120,CL-1;LYM2;LYP1,CEBiP-like 1;lysM domain GPI-anchored protein 2 precursor;LysM-containing receptor protein 1
AT3G09440.1,3.748730024063497,10.103787233288667,205.93145139548233,1.0605919038446801e-46,4.0497737673851067e-44,AT3G09440,NA,NA
AT5G45070.1,2.1896480779931307,4.415040330464999,203.8534388835034,3.0127584912080926e-46,1.1374686609165655e-43,AT5G45070,AtPP2-A8;PP2-A8,phloem protein 2-A8;phloem protein 2-A8
AT4G23470.1,1.7086025056642467,7.97339791908306,203.75461365658148,3.1661262690632476e-46,1.1820908321451472e-43,AT4G23470,NA,NA
AT5G22060.1,2.0338515539862954,7.308397520060097,203.72592731415156,3.2120897549004894e-46,1.1860729664194093e-43,AT5G22060,ATJ2;J2,ARABIDOPSIS THALIANA DNAJ HOMOLOGUE 2;DNAJ homologue 2
AT4G25110.1,3.1334186230701566,4.308562854740433,203.59753031195953,3.4261337521750245e-46,1.251358112397665e-43,AT4G25110,AtMC2;AtMCP1c;MC2;MCP1c,metacaspase 2;metacaspase 1c;metacaspase 2;metacaspase 1c
AT3G11402.1,3.5228554959761254,3.656599496427192,203.46694102507695,3.658469215004014e-46,1.3218481995974718e-43,AT3G11402,NA,NA
AT3G46230.1,5.610867336939383,1.4584058887400322,203.4147276124131,3.7557147494301934e-46,1.3425481596846102e-43,AT3G46230,ATHSP17.4;HSP17.4,ARABIDOPSIS THALIANA HEAT SHOCK PROTEIN 17.4;heat shock protein 17.4
AT5G55450.1,2.1017335933036176,5.191888912920609,200.94707662609983,1.2976601289590978e-45,4.589892174029854e-43,AT5G55450,AtLTP4.4,"NA"
AT1G31540.2,1.5470299835391188,6.327199555089716,199.4996332505929,2.6854915427522356e-45,9.336354964348412e-43,AT1G31540,NA,NA
AT3G28070.1,-2.173324512008729,4.476565224800429,199.4924838758485,2.6951563345687634e-45,9.336354964348412e-43,AT3G28070,UMAMIT46,Usually multiple acids move in and out Transporters 46
AT5G61210.1,1.5693780298555793,6.907376614954325,198.66617303102302,4.082324773135589e-45,1.3997375206826743e-42,AT5G61210,ATSNAP33;ATSNAP33B;SNAP33;SNP33,NA;NA;soluble N-ethylmaleimide-sensitive factor adaptor protein 33;NA
AT2G32680.1,4.840066058890568,4.083897882044342,198.14340487481206,5.308743472922679e-45,1.8018626078499785e-42,AT2G32680,AtRLP23;RLP23,receptor like protein 23;receptor like protein 23
AT5G60900.1,2.8418509712075672,2.7761979847201914,197.97643074518834,5.773391037475823e-45,1.939974856412626e-42,AT5G60900,RLK1,receptor-like protein kinase 1
AT2G37710.1,3.050129848768929,7.223077455380976,196.79942469338084,1.0430295773837798e-44,3.470087114777205e-42,AT2G37710,LecRK-IV.1;RLK,L-type lectin receptor kinase IV.1;receptor lectin kinase
AT5G15850.1,2.631539263470227,3.854049320275498,193.79457323034745,4.721712747363101e-44,1.5554803111460286e-41,AT5G15850,ATCOL1;BBX2;COL1,NA;B-box domain protein 2;CONSTANS-like 1
AT5G66620.1,2.7414458322144664,3.1205842781929767,193.6641264449265,5.041624140078175e-44,1.6447442170379306e-41,AT5G66620,DAR6,DA1-related protein 6
AT5G13190.1,1.9392173050716277,5.146886372679577,190.7122512639641,2.2226110574602706e-43,7.181170841613463e-41,AT5G13190,AtGILP;GILP,NA;GSH-induced LITAF domain protein
AT1G71880.1,1.9401164332262584,7.882916931861426,190.53276752259853,2.4324293634727873e-43,7.784237282991677e-41,AT1G71880,ATSUC1;SUC1,ARABIDOPSIS THALIANA SUCROSE-PROTON SYMPORTER 1;sucrose-proton symporter 1
AT3G11340.1,3.7285295943911154,7.022600388026344,189.30877087821233,4.500003356916272e-43,1.4265010641424582e-40,AT3G11340,UGT76B1,UDP-dependent glycosyltransferase 76B1
AT4G11850.1,1.5817719556095038,6.535860230240948,188.7825377878361,5.862476668232298e-43,1.8410368318312307e-40,AT4G11850,MEE54;PLDGAMMA1,maternal effect embryo arrest 54;phospholipase D gamma 1
AT5G48570.1,4.959575977999444,6.801705233948398,188.51633223530047,6.7017802313276814e-43,2.085122401232155e-40,AT5G48570,ATFKBP65;FKBP65;ROF2,NA;NA;NA
AT3G23080.1,-1.9273137522782249,4.653877609993652,187.03414972110556,1.4116865373309998e-42,4.351879910770298e-40,AT3G23080,NA,NA
AT3G24500.1,4.223684093622452,5.682345640235958,185.196848440903,3.554875497508659e-42,1.0859175133389632e-39,AT3G24500,ATMBF1C;MBF1C,NA;multiprotein bridging factor 1C
AT1G29020.1,2.705172580035237,2.925035088311903,183.67123106167492,7.65394358070672e-42,2.3170073171072724e-39,AT1G29020,NA,NA
AT4G37640.1,2.03833420864112,6.529973827117666,181.5943750202074,2.174261909886796e-41,6.523173990715725e-39,AT4G37640,ACA2,calcium ATPase 2
AT4G30280.1,3.411660712275002,6.396446532437401,181.4624752919186,2.3233230868194063e-41,6.908699324186345e-39,AT4G30280,ATXTH18;XTH18,XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 18;xyloglucan endotransglucosylase/hydrolase 18
AT5G61010.1,1.9243478554973263,5.434837499053971,179.9099408788325,5.070886657774941e-41,1.494666083110119e-38,AT5G61010,ATEXO70E2;EXO70E2,exocyst subunit exo70 family protein E2;exocyst subunit exo70 family protein E2
AT1G65790.1,2.785097436994914,3.4378001702198504,179.82075021250134,5.303443214452807e-41,1.5496199903655932e-38,AT1G65790,ARK1;RK1,receptor kinase 1;receptor kinase 1
AT3G60420.2,2.676368472196886,4.512210377191394,179.75554375749135,5.480185108548432e-41,1.5874584484262448e-38,AT3G60420,NA,NA
AT4G30340.1,1.7997347525623144,5.190211014360134,179.6220128250736,5.86071659646206e-41,1.683177769865967e-38,AT4G30340,ATDGK7;DGK7,diacylglycerol kinase 7;diacylglycerol kinase 7
AT1G63500.1,1.553331165866713,6.479337419327542,177.6243305121074,1.600088539483259e-40,4.5564555172641074e-38,AT1G63500,BSK7,brassinosteroid-signaling kinase 7
AT3G46970.1,-1.858760386329802,8.712529679703183,177.25863076965894,1.9230799007234205e-40,5.430195867572133e-38,AT3G46970,ATPHS2;PHS2,Arabidopsis thaliana alpha-glucan phosphorylase 2;alpha-glucan phosphorylase 2
AT3G10300.3,1.6831412589007582,5.9274774765768665,177.2129194210909,1.96779028533416e-40,5.510140763983203e-38,AT3G10300,NA,NA
AT4G31800.1,3.51432289277911,7.027236991924595,176.61906057805373,2.652494608765088e-40,7.366043292869792e-38,AT4G31800,ATWRKY18;WRKY18,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18;WRKY DNA-binding protein 18
AT4G11890.3,4.49842060547676,4.651243100241714,176.36593479340021,3.012507074056768e-40,8.297234647742256e-38,AT4G11890,ARCK1;CRK45,ABA- AND  OSMOTIC-STRESS-INDUCIBLE RECEPTOR-LIKE CYTOSOLIC KINASE1;cysteine-rich receptor-like protein kinase 45
AT2G17840.1,2.174826435509966,7.90077818302837,175.16624139104897,5.506858659027185e-40,1.504402151712451e-37,AT2G17840,ERD7,EARLY-RESPONSIVE TO DEHYDRATION 7
AT3G52430.1,1.914602142230246,4.82585011461673,175.12631392680112,5.618534100467132e-40,1.5225321197088434e-37,AT3G52430,ATPAD4;PAD4,ARABIDOPSIS PHYTOALEXIN DEFICIENT 4;PHYTOALEXIN DEFICIENT 4
AT3G10720.2,2.258720509713091,8.108220856040976,174.3463935673608,8.316469625215731e-40,2.235600098771992e-37,AT3G10720,NA,NA
AT2G47490.1,1.6269727540688916,4.631717302131064,174.25192915804107,8.72103571304035e-40,2.3257479526157293e-37,AT2G47490,ATNDT1;NDT1,ARABIDOPSIS THALIANA NAD+ TRANSPORTER 1;NAD+ transporter 1
AT3G07090.1,2.6742902919617433,6.093044381429141,173.63566163892318,1.1889116671727028e-39,3.1456543181367837e-37,AT3G07090,NA,NA
AT4G26070.2,1.9191762938207537,5.601436969441839,172.81341146692984,1.7977037129782465e-39,4.71925313777305e-37,AT4G26070,ATMEK1;MEK1;MKK1;NMAPKK,NA;MAP kinase/ ERK kinase 1;MITOGEN ACTIVATED PROTEIN KINASE KINASE 1;NA
AT3G28540.1,3.3141286534802052,3.6350431924121396,172.797666611382,1.8119934760416624e-39,4.7198918435621664e-37,AT3G28540,NA,NA
AT1G60550.1,-1.4909447375976692,5.459592839989837,172.06470116943717,2.6195741081803102e-39,6.770994552544214e-37,AT1G60550,DHNS;ECHID,NA;enoyl-CoA hydratase/isomerase D
AT2G29310.1,-2.3360436433006933,3.905626276639934,171.60926604004578,3.2937921091653533e-39,8.448702477265205e-37,AT2G29310,NA,NA
AT3G51920.1,1.7107593389492264,5.159151459331465,171.09064544173748,4.2752645610738084e-39,1.0883139377363797e-36,AT3G51920,ATCML9;CAM9;CML9,NA;calmodulin 9;CALMODULIN LIKE PROTEIN 9
AT2G40610.1,-3.2648836511809187,4.419475296913604,171.03814898002594,4.3896342705071824e-39,1.1090262462976116e-36,AT2G40610,ATEXP8;ATEXPA8;ATHEXP ALPHA 1.11;EXP8;EXPA8,NA;expansin A8;NA;NA;expansin A8
AT3G14067.1,-1.5942954939705412,7.468000097925708,170.909863746802,4.6821594534538256e-39,1.1741038951862346e-36,AT3G14067,SASP,Senescence-Associated Subtilisin Protease
AT5G01900.1,6.71675186669803,4.106370430300747,170.76400974135885,5.03850016476047e-39,1.2541013521206024e-36,AT5G01900,ATWRKY62;WRKY62,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 62;WRKY DNA-binding protein 62
AT2G14560.1,1.9842977458331683,6.69021640915796,170.22462634512937,6.608547845014757e-39,1.6327972403543078e-36,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT1G01120.1,1.9283362350942335,7.209273883160181,170.0751515838635,7.124471490125998e-39,1.7474196424176188e-36,AT1G01120,KCS1,3-ketoacyl-CoA synthase 1
AT5G11610.1,-2.412034976441165,3.544848702999284,169.00315760477335,1.2214915651922676e-38,2.9742434473616357e-36,AT5G11610,NA,NA
AT3G48650.1,4.521857270544566,3.2654972737899115,168.58995033744506,1.503636082971236e-38,3.634905011510753e-36,AT3G48650,NA,NA
AT3G48640.1,4.82949557265493,0.7266472823460965,168.28436088266267,1.753436584782632e-38,4.208498294419e-36,AT3G48640,NA,NA
AT5G24810.2,1.594984042819543,7.050636204249313,167.81820541073273,2.2167147785263768e-38,5.282698580712292e-36,AT5G24810,NA,NA
AT3G16050.1,2.609571443985772,4.44100864195485,167.7520040012307,2.291764330763334e-38,5.4230890874865876e-36,AT3G16050,A37;ATPDX1.2;PDX1.2,NA;ARABIDOPSIS THALIANA PYRIDOXINE BIOSYNTHESIS 1.2;pyridoxine biosynthesis 1.2
AT4G28490.1,1.8741041034025407,5.496890701563013,167.33667777225358,2.824157712822564e-38,6.636178144493973e-36,AT4G28490,HAE;RLK5,HAESA;RECEPTOR-LIKE PROTEIN KINASE 5
AT4G28480.1,1.8513844048446964,5.89808066953522,166.68594117245087,3.9176970273560763e-38,9.141837188417977e-36,AT4G28480,NA,NA
AT1G76970.1,2.4412437097105326,4.803899741200824,166.27659319162197,4.813348742950405e-38,1.1154354790387552e-35,AT1G76970,NA,NA
AT4G01330.2,-2.1036144757709074,5.838308075959212,166.0241700332806,5.464952161010046e-38,1.2577624829743805e-35,AT4G01330,NA,NA
AT3G15570.1,-2.2651268044225823,4.912786592329044,165.37363199834297,7.58038804287458e-38,1.732763258616814e-35,AT3G15570,NA,NA
